# Humidity: 6.23%
# Offset: 16 pts (67.76 deg)
# Pearson r: -0.3183
#
0.845919	1.610886
0.845382	1.624026
0.844758	1.627160
0.843286	1.613353
0.842146	1.594440
0.842573	1.601674
0.846624	1.615995
0.851514	1.630284
0.859648	1.635143
0.870935	1.619315
0.883850	1.602265
0.888237	1.613044
0.879541	1.608835
0.869389	1.585152
0.867639	1.573921
0.871947	1.614297
0.857101	1.632660
0.843362	1.631649
0.848866	1.615408
0.859366	1.598472
0.861545	1.584465
0.865960	1.582979
0.861669	1.584250
0.854771	1.583829
0.850532	1.580425
0.845447	1.576973
0.847836	1.576262
0.863186	1.574207
0.878458	1.571796
0.892245	1.568607
0.889939	1.563299
0.888237	1.560477
0.894053	1.557896
0.892567	1.557156
0.871019	1.557510
0.852574	1.559734
0.884373	1.562082
0.909879	1.564957
0.928102	1.567899
0.934523	1.570196
0.936359	1.574743
0.921698	1.577115
0.910368	1.579118
0.901444	1.581708
0.898076	1.584012
0.898006	1.590433
0.900244	1.593710
0.900317	1.595868
0.900405	1.597467
0.901020	1.598016
0.903130	1.597877
0.909724	1.598199
0.911882	1.598193
0.913639	1.598921
0.914126	1.599466
0.914352	1.601256
0.912842	1.602066
0.911439	1.602168
0.910219	1.602463
0.908331	1.602184
0.905947	1.602516
0.897502	1.602831
0.891013	1.602711
0.884026	1.603181
0.877295	1.603074
0.872438	1.603354
0.866561	1.603641
0.865309	1.603506
0.865628	1.603596
